     Angle,       PSD,
    46.879,       307,
   46.9289,       309,
   46.9788,       309,
   47.0286,       283,
   47.0785,       307,
   47.1284,       336,
   47.1782,       286,
   47.2281,       283,
    47.278,       303,
   47.3278,       270,
   47.3777,       318,
   47.4276,       299,
   47.4774,       314,
   47.5273,       274,
   47.5772,       298,
    47.627,       300,
   47.6769,       266,
   47.7268,       298,
   47.7766,       299,
   47.8265,       307,
   47.8764,       305,
   47.9262,       307,
   47.9761,       291,
    48.026,       318,
   48.0759,       296,
   48.1257,       278,
   48.1756,       285,
   48.2255,       316,
   48.2753,       270,
   48.3252,       266,
   48.3751,       279,
   48.4249,       273,
   48.4748,       289,
   48.5247,       296,
   48.5745,       288,
   48.6244,       254,
   48.6743,       278,
   48.7241,       305,
    48.774,       279,
   48.8239,       267,
   48.8737,       319,
   48.9236,       323,
   48.9735,       352,
   49.0234,       341,
   49.0732,       365,
   49.1231,       419,
    49.173,       387,
   49.2228,       473,
   49.2727,       438,
   49.3226,       392,
   49.3724,       400,
   49.4223,       353,
   49.4722,       340,
    49.522,       334,
   49.5719,       310,
   49.6218,       302,
   49.6716,       273,
   49.7215,       260,
   49.7714,       282,
   49.8212,       283,
   49.8711,       287,
    49.921,       252,
   49.9708,       255,
   50.0207,       272,
   50.0706,       231,
   50.1205,       234,
   50.1703,       224,
   50.2202,       259,
   50.2701,       239,
   50.3199,       256,
   50.3698,       239,
   50.4197,       260,
   50.4695,       267,
   50.5194,       224,
   50.5693,       239,
   50.6191,       244,
    50.669,       233,
   50.7189,       241,
   50.7687,       242,
   50.8186,       235,
   50.8685,       221,
   50.9183,       209,
   50.9682,       212,
   51.0181,       246,
    51.068,       205,
   51.1178,       234,
   51.1677,       230,
   51.2176,       219,
   51.2674,       227,
   51.3173,       239,
   51.3672,       233,
    51.417,       218,
   51.4669,       227,
   51.5168,       216,
   51.5666,       234,
   51.6165,       240,
   51.6664,       242,
   51.7162,       214,
   51.7661,       227,
    51.816,       234,
   51.8658,       189,
   51.9157,       236,
   51.9656,       219,
   52.0154,       247,
   52.0653,       222,
   52.1152,       230,
   52.1651,       226,
   52.2149,       217,
   52.2648,       239,
   52.3147,       219,
   52.3645,       229,
   52.4144,       214,
   52.4643,       219,
   52.5141,       214,
    52.564,       227,
   52.6139,       207,
   52.6637,       211,
   52.7136,       191,
   52.7635,       238,
   52.8133,       208,
   52.8632,       196,
   52.9131,       226,
   52.9629,       214,
   53.0128,       209,
   53.0627,       215,
   53.1126,       220,
   53.1624,       223,
   53.2123,       200,
   53.2622,       189,
    53.312,       201,
   53.3619,       211,
   53.4118,       244,
   53.4616,       217,
   53.5115,       204,
   53.5614,       183,
   53.6112,       188,
   53.6611,       188,
    53.711,       200,
   53.7608,       191,
   53.8107,       201,
   53.8606,       210,
   53.9104,       217,
   53.9603,       191,
   54.0102,       206,
     54.06,       211,
   54.1099,       197,
   54.1598,       214,
   54.2097,       195,
   54.2595,       178,
   54.3094,       202,
   54.3593,       216,
   54.4091,       191,
    54.459,       211,
   54.5089,       226,
   54.5587,       167,
   54.6086,       208,
   54.6585,       186,
   54.7083,       207,
   54.7582,       179,
   54.8081,       196,
   54.8579,       212,
   54.9078,       194,
   54.9577,       208,
   55.0075,       204,
   55.0574,       194,
   55.1073,       185,
   55.1572,       199,
    55.207,       213,
   55.2569,       211,
   55.3068,       178,
   55.3566,       201,
   55.4065,       167,
   55.4564,       178,
   55.5062,       161,
   55.5561,       204,
    55.606,       176,
   55.6558,       189,
   55.7057,       191,
   55.7556,       203,
   55.8054,       179,
   55.8553,       202,
   55.9052,       199,
    55.955,       191,
   56.0049,       186,
   56.0548,       211,
   56.1046,       208,
   56.1545,       175,
   56.2044,       211,
   56.2543,       181,
   56.3041,       190,
    56.354,       204,
   56.4039,       204,
   56.4537,       177,
   56.5036,       172,
   56.5535,       200,
   56.6033,       197,
   56.6532,       173,
   56.7031,       184,
   56.7529,       193,
   56.8028,       200,
   56.8527,       198,
   56.9025,       179,
   56.9524,       199,
   57.0023,       167,
   57.0521,       186,
    57.102,       204,
   57.1519,       199,
   57.2018,       184,
   57.2516,       193,
   57.3015,       171,
   57.3514,       189,
   57.4012,       169,
   57.4511,       190,
    57.501,       192,
   57.5508,       190,
   57.6007,       177,
   57.6506,       186,
   57.7004,       181,
   57.7503,       201,
   57.8002,       181,
     57.85,       198,
   57.8999,       191,
   57.9498,       182,
   57.9996,       184,
   58.0495,       200,
   58.0994,       178,
   58.1492,       163,
   58.1991,       183,
    58.249,       192,
   58.2989,       180,
   58.3487,       149,
   58.3986,       174,
   58.4485,       174,
   58.4983,       168,
   58.5482,       156,
   58.5981,       181,
   58.6479,       166,
   58.6978,       174,
   58.7477,       187,
   58.7975,       189,
   58.8474,       154,
   58.8973,       150,
   58.9471,       187,
    58.997,       192,
   59.0469,       177,
   59.0967,       182,
   59.1466,       160,
   59.1965,       167,
   59.2464,       173,
   59.2962,       179,
   59.3461,       187,
    59.396,       165,
   59.4458,       193,
   59.4957,       184,
   59.5456,       180,
   59.5954,       172,
   59.6453,       188,
   59.6952,       175,
    59.745,       189,
   59.7949,       165,
   59.8448,       178,
   59.8946,       181,
   59.9445,       173,
   59.9944,       179,
